title,max_players,genres,publisher,review_score,sales,price,console,age_rating,year,average_length
Final Fantasy III,1,Role-Playing (RPG),SquareEnix,77,0.86,17.95,Nintendo DS,E,2006,51.0666666666667
Thrillville: Off the Rails,4,"Simulation,Strategy",,73,0.12,17.95,X360,E,2007,12.15
The BIGS,4,"Action,Simulation,Sports",2K,80,0.16,22.95,PlayStation 3,T,2007,16.8166666666667
Far Cry 2,1,Action,Ubisoft,85,0.73,19.95,X360,T,2008,26
The Golden Compass,1,Action,Sega,28,0.1,14.95,Sony PSP,E,2007,8.56666666666667
Shrek the Third,1,Action,Activision,57,0.09,22.95,Sony PSP,T,2007,5.11666666666667
Deal or No Deal,1,Strategy,,20,1.1,11.95,Nintendo DS,E,2007,0.983333333333333
The Godfather: The Game,1,Action,EA,77,0.2,17.95,X360,T,2006,21.15
Beowulf: The Game,1,Action,Ubisoft,51,0.12,12.95,PlayStation 3,T,2007,10.85
LocoRoco 2,1,"Action,Strategy",Sony,85,0.17,11.95,Sony PSP,M,2008,17.2666666666667
Drawn to Life,1,Action,THQ,73,0.75,17.95,Nintendo DS,T,2007,13.7166666666667
Madden NFL 09,4,Sports,EA,85,1.66,14.95,PlayStation 3,E,2008,15.8833333333333
Mega Man Star Force: Dragon,1,"Action,Role-Playing (RPG)",Capcom,60,0.41,27.95,Nintendo DS,T,2007,20.8166666666667
The BIGS,4,"Action,Simulation,Sports",2K,79,0.19,12.95,X360,M,2007,16.8166666666667
BWii: Battalion Wars 2,1,"Action,Simulation,Strategy",Nintendo,75,0.21,14.95,Nintendo Wii,T,2007,10.0333333333333
Transformers: The Game,1,Action,Activision,54,0.32,17.95,PlayStation 3,E,2007,7.23333333333333
Looney Tunes: Acme Arsenal,4,Action,,40,0.07,17.95,X360,M,2007,3.83333333333333
Legendary,1,Action,Atari,47,0.07,17.95,X360,T,2008,5.85
Devil May Cry 4,1,Action,Capcom,84,0.8,17.95,X360,T,2008,13.35
Juiced 2: Hot Import Nights,2,Racing / Driving,THQ,68,0.23,14.95,X360,E,2007,16.45
Harry Potter and the Order of the Phoenix,1,Action,EA,52,0.1,16.95,Sony PSP,E,2007,12.3833333333333
Alien Syndrome,4,Action,Sega,48,0.06,12.95,Nintendo Wii,E,2007,2.78333333333333
Fantastic Four: Rise of the Silver Surfer,4,Action,2K,39,0.04,12.95,Nintendo Wii,E,2007,7.6
Bomberman,1,Strategy,Ubisoft,75,0.11,17.95,Nintendo DS,E,2005,3.33333333333333
Marvel Ultimate Alliance,1,"Action,Role-Playing (RPG)",Activision,81,0.34,22.95,Sony PSP,E,2006,15.25
Forza Motorsport 2,2,Racing / Driving,Microsoft,90,2.48,12.95,X360,T,2007,59.55
Command & Conquer 3: Tiberium Wars,1,Strategy,EA,82,0.35,24.95,X360,T,2007,26.3
God of War: Chains of Olympus,1,Action,Sony,91,1.54,17.95,Sony PSP,T,2008,6.03333333333333
Medal of Honor: Heroes 2,1,Action,EA,73,0.34,19.95,Nintendo Wii,E,2007,4.96666666666667
Avatar: The Last Airbender,1,Action,THQ,64,0.3,17.95,Nintendo DS,E,2006,4.75
TNA iMPACT!,4,Sports,Midway,64,0.21,12.95,PlayStation 3,M,2008,15.8833333333333
Contra 4,1,Action,Konami,83,0.27,17.95,Nintendo DS,T,2007,7.36666666666667
Tony Hawk's Project 8,2,Sports,Activision,68,0.42,17.95,Sony PSP,M,2006,17.1666666666667
Game Party,4,Action,Midway,25,1.49,14.95,Nintendo Wii,T,2007,2
Need for Speed: Undercover,1,Racing / Driving,EA,59,0.59,17.95,PlayStation 3,E,2008,12.1833333333333
The Club,4,Action,Sega,76,0.13,14.95,X360,T,2008,6.13333333333333
Nintendogs,1,Simulation,Nintendo,83,9.72,26.95,Nintendo DS,E,2005,39.3833333333333
Fable II,1,Role-Playing (RPG),Microsoft,89,2.55,17.95,X360,E,2008,25.15
Zendoku,1,"Role-Playing (RPG),Strategy",Eidos,68,0.04,16.95,Nintendo DS,E,2007,4
TMNT,1,Action,Ubisoft,60,0.16,17.95,Nintendo Wii,E,2007,4.91666666666667
Open Season,1,Action,Ubisoft,72,0.13,17.95,Nintendo DS,T,2006,5.46666666666667
Beowulf: The Game,1,Action,Ubisoft,51,0.36,12.95,X360,E,2007,10.85
Midnight Club: Los Angeles,1,Racing / Driving,Rockstar,81,1.15,22.95,X360,E,2008,30.6666666666667
Phoenix Wright: Ace Attorney,1,"Adventure,Simulation",Capcom,81,0.38,24.95,Nintendo DS,E,2005,19.6833333333333
Tao's Adventure: Curse of the Demon Seal,1,Role-Playing (RPG),Konami,50,0.04,14.95,Nintendo DS,E,2006,45
WarioWare Touched!,2,"Action,Racing / Driving,Sports",Nintendo,81,0.54,22.95,Nintendo DS,E,2004,4.56666666666667
Metal Slug 7,1,Action,,70,0.09,17.95,Nintendo DS,M,2008,1.26666666666667
Need for Speed: Carbon - Own the City,1,Racing / Driving,EA,73,0.93,16.95,Sony PSP,E,2006,18.0333333333333
Rengoku: The Tower of Purgatory,1,"Action,Role-Playing (RPG)",Konami,43,0.11,12.95,Sony PSP,E,2005,4.71666666666667
Speed Racer: The Videogame,1,Racing / Driving,,75,0.28,17.95,Nintendo DS,M,2008,12.3833333333333
Tom Clancy's Rainbow Six: Vegas,2,Action,Ubisoft,88,1.19,14.95,X360,E,2006,9.9
Planet Puzzle League,1,Strategy,Nintendo,86,0.16,17.95,Nintendo DS,E,2007,0.316666666666667
SEGA Rally Revo,2,"Racing / Driving,Simulation",Sega,75,0.07,16.95,PlayStation 3,T,2007,34
Guitar Hero III: Legends of Rock,2,"Action,Simulation",Activision,85,3.28,12.95,X360,T,2007,15.1833333333333
Resistance: Fall of Man,4,Action,Sony,86,1.61,19.95,PlayStation 3,E,2006,12.2
Raiden IV,2,Action,,63,0.09,32.95,X360,T,2008,0.833333333333333
Dead Space,1,Action,EA,88,0.96,17.95,PlayStation 3,M,2008,12.7333333333333
Lumines: Puzzle Fusion,1,Strategy,Ubisoft,89,0.56,14.95,Sony PSP,E,2004,10.1
NHL 08,7,Sports,EA,86,0.17,9.95,PlayStation 3,T,2007,17.5
Tenchu: Dark Secret,1,Action,Nintendo,37,0.02,14.95,Nintendo DS,E,2006,7.1
Mario Party 8,4,"Action,Strategy",Nintendo,62,3.84,39.95,Nintendo Wii,T,2007,6.2
AC/DC Live: Rock Band - Track Pack,1,"Action,Simulation",,60,0.19,14.95,PlayStation 3,E,2008,3.63333333333333
Rock Band 2,1,"Action,Simulation",,91,1.11,24.95,PlayStation 3,E,2008,62.55
Ninja Reflex,1,Action,EA,54,0.08,12.95,Nintendo DS,T,2008,3.83333333333333
The Simpsons Game,2,Action,EA,64,0.47,17.95,Nintendo Wii,T,2007,1.03333333333333
Beijing 2008,4,Sports,Sega,60,0.15,14.95,X360,T,2008,5.5
Frontlines: Fuel of War,1,Action,THQ,75,0.35,14.95,X360,M,2008,5.85
Halo 3,4,Action,Microsoft,94,8.03,24.95,X360,E,2007,10.35
Ultimate Mortal Kombat 3,1,Action,Midway,73,0.05,23.95,Nintendo DS,E,2007,3.85
300: March to Glory,1,Action,Eidos,55,0.26,14.95,Sony PSP,E,2007,7.4
Ferrari Challenge Trofeo Pirelli,1,Racing / Driving,,71,0.15,17.95,PlayStation 3,E,2008,32
Need for Speed: Carbon - Own the City,1,"Action,Racing / Driving",EA,70,0.19,14.95,Nintendo DS,T,2006,18.0333333333333
The Orange Box,1,Action,,96,1.06,17.95,X360,E,2007,34.0166666666667
Iron Man,1,Action,Sega,45,0.28,17.95,X360,M,2008,5.8
LEGO Indiana Jones: The Original Adventures,2,Action,,77,0.38,17.95,PlayStation 3,E,2008,15.1333333333333
Ninja Reflex,4,Action,EA,49,0.09,14.95,Nintendo Wii,E,2008,3.83333333333333
Soul Bubbles,1,Strategy,Eidos,78,0.05,14.95,Nintendo DS,T,2008,8.81666666666667
Iron Man,1,Action,Sega,56,0.33,14.95,Nintendo DS,M,2008,5.8
Super Mario Galaxy,2,Action,Nintendo,97,4.94,39.95,Nintendo Wii,E,2007,24.8333333333333
Guitar Hero: World Tour,4,"Action,Simulation",Activision,84,1.04,17.95,PlayStation 3,E,2008,15.95
Ratchet & Clank Future: Tools of Destruction,1,Action,Sony,89,0.86,22.95,PlayStation 3,E,2007,16.8666666666667
Ford Racing 3,1,"Action,Racing / Driving",,49,0.1,14.95,Nintendo DS,E,2005,7.1
LocoRoco,1,"Action,Strategy",Sony,83,0.13,17.95,Sony PSP,T,2006,8.16666666666667
Assassin's Creed,1,Action,Ubisoft,81,1.77,17.95,PlayStation 3,T,2007,18.75
Mortal Kombat: Unchained,2,Action,Midway,70,0.67,17.95,Sony PSP,E,2006,13.55
Monster Hunter Freedom,1,"Action,Strategy",Capcom,71,0.25,12.95,Sony PSP,E,2006,279.733333333333
Rayman Raving Rabbids,4,Action,Ubisoft,67,0.17,16.95,X360,M,2007,6.7
Secret Files: Tunguska,1,Adventure,,71,0.03,17.95,Nintendo DS,M,2008,10.0833333333333
Viva Pi$?ata: Party Animals,4,Racing / Driving,Microsoft,56,0.17,14.95,X360,T,2007,8.88333333333333
Ratatouille,1,Action,THQ,62,0.43,19.95,Nintendo Wii,T,2007,13.2
Coded Arms,1,Action,Konami,59,0.3,12.95,Sony PSP,M,2005,7.06666666666667
Conflict: Denied Ops,4,Action,Eidos,51,0.05,17.95,PlayStation 3,E,2008,6.38333333333333
Ben 10: Protector of the Earth,1,Action,,63,0.57,16.95,Nintendo Wii,T,2007,5.08333333333333
Assassin's Creed: Altar's Chronicles,1,Action,Ubisoft,58,0.03,11.95,Nintendo DS,T,2008,5.06666666666667
F.E.A.R.: First Encounter Assault Recon,1,Action,,72,0.18,17.95,PlayStation 3,T,2007,9.4
Dance Dance Revolution Universe 2,4,Action,Konami,65,0.48,19.95,X360,T,2007,8
Brain Age: Train Your Brain in Minutes a Day!,1,Action,Nintendo,77,5.07,17.95,Nintendo DS,M,2005,0.95
Pinball Hall of Fame: The Williams Collection,1,Simulation,,82,0.41,17.95,Nintendo Wii,T,2008,29.25
Need for Speed: Undercover,1,Racing / Driving,EA,64,0.66,17.95,X360,E,2008,12.1833333333333
Bleach: The Blade of Fate,1,Action,Sega,83,0.31,17.95,Nintendo DS,E,2007,18.6166666666667
Guitar Hero: World Tour,4,"Action,Simulation",Activision,85,1.78,16.95,X360,T,2008,15.95
Metroid Prime 3: Corruption,1,Action,Nintendo,90,0.91,19.95,Nintendo Wii,T,2007,15.9833333333333
The Darkness,1,Action,2K,82,0.36,14.95,X360,M,2007,10.9
7 Wonders of the Ancient World,1,Strategy,,51,0.08,17.95,Sony PSP,E,2007,7.48333333333333
All-Pro Football 2K8,6,Sports,2K,73,0.14,9.95,PlayStation 3,T,2007,12
Madden NFL 06,2,Sports,EA,74,0.62,4.95,X360,E,2005,3.75
Hitman: Blood Money,1,Action,Eidos,82,0.29,22.95,X360,E,2006,14.0666666666667
Dragon Quest Swords: The Masked Queen and the T...,1,Action,SquareEnix,65,0.15,16.95,Nintendo Wii,T,2007,12.0166666666667
Supreme Commander,1,Strategy,,56,0.04,17.95,X360,T,2008,24.9
The Incredible Hulk,1,Action,Sega,46,0.29,16.95,Nintendo Wii,T,2008,5.21666666666667
Harvest Moon: Tree of Tranquility,1,"Role-Playing (RPG),Simulation",,65,0.62,34.95,Nintendo Wii,M,2008,53.3833333333333
Boom Blox,4,"Action,Strategy",EA,85,0.72,24.95,Nintendo Wii,T,2008,6.4
Coded Arms: Contagion,1,Action,Konami,56,0.06,14.95,Sony PSP,E,2007,9.85
Saints Row 2,1,"Action,Racing / Driving",THQ,81,1.39,17.95,X360,E,2008,28.1
Crash of the Titans,2,Action,,69,0.42,17.95,Nintendo Wii,E,2007,7.75
Untold Legends: Brotherhood of the Blade,1,"Action,Role-Playing (RPG)","Activision,Sony",68,0.56,12.95,Sony PSP,M,2005,21
Conan,1,"Action,Adventure",THQ,69,0.14,14.95,X360,E,2007,7.18333333333333
Retro Game Challenge,1,"Action,Racing / Driving,Role-Playing (RPG)",Namco,77,0.05,17.95,Nintendo DS,T,2007,11.7166666666667
NBA Street Homecourt,4,Sports,EA,81,0.11,14.95,PlayStation 3,E,2007,18.3166666666667
Dragon Ball Z: Burst Limit,2,Action,"Atari,Namco",72,0.24,17.95,X360,E,2008,8.05
Monster House,1,Action,THQ,62,0.15,14.95,Nintendo DS,M,2006,6.66666666666667
NHL 2K6 ,1,Sports,2K,75,0.1,5.95,X360,T,2005,2.5
WWE Smackdown vs. Raw 2008,4,Sports,THQ,59,0.39,12.95,Nintendo Wii,M,2007,25.3166666666667
Zoids Assault,1,"Role-Playing (RPG),Strategy",,46,0.07,17.95,X360,M,2007,12.05
Digimon World DS,1,Role-Playing (RPG),Namco,49,0.08,27.95,Nintendo DS,E,2006,30.65
Enemy Territory: Quake Wars,1,Action,Activision,60,0.24,16.95,PlayStation 3,T,2008,9.91666666666667
Chicken Shoot,2,Action,,27,0.26,12.95,Nintendo Wii,E,2007,0.616666666666667
Alex Rider: Stormbreaker,1,"Action,Adventure",THQ,48,0.05,12.95,Nintendo DS,M,2006,6.5
Tony Hawk's Proving Ground,2,Sports,Activision,72,0.51,16.95,X360,T,2007,8.13333333333333
Burnout Paradise,1,"Action,Racing / Driving",EA,87,1.01,17.95,PlayStation 3,T,2008,27.15
Test Drive Unlimited,1,Racing / Driving,Atari,80,0.08,17.95,Sony PSP,M,2007,53.4
Big Brain Academy,1,Action,Nintendo,74,1.77,16.95,Nintendo DS,E,2005,9.16666666666667
Cooking Mama: Cook Off,2,Simulation,,61,1.38,14.95,Nintendo Wii,M,2007,3.4
NBA 2K7 ,1,Sports,2K,84,0.56,4.95,X360,E,2006,8.18333333333333
Vampire Rain,1,Action,,30,0.04,24.95,PlayStation 3,E,2008,10.8833333333333
Metal Gear Solid: Digital Graphic Novel,1,Adventure,Konami,78,0.02,17.95,Sony PSP,T,2006,3.18333333333333
Samurai Warriors 2: Empires,2,"Action,Role-Playing (RPG),Strategy",,53,0.02,19.95,X360,E,2007,12.75
NBA LIVE 06 ,1,Sports,EA,64,0.29,4.95,X360,E,2005,4
Surf's Up,4,Sports,Ubisoft,61,0.09,17.95,X360,E,2007,1.28333333333333
The Elder Scrolls IV: Shivering Isles,1,"Action,Role-Playing (RPG)",,86,0.18,24.95,X360,E,2007,21.8
SEGA Rally Revo,1,"Racing / Driving,Simulation",Sega,74,0.03,16.95,Sony PSP,T,2007,34
Command & Conquer: Red Alert 3,1,Strategy,EA,77,0.16,14.95,X360,T,2008,14.7
Darkstalkers Chronicle: The Chaos Tower,1,Action,Capcom,74,0.14,14.95,Sony PSP,E,2004,1.63333333333333
Mortal Kombat vs. DC Universe,2,Action,Midway,76,1.13,24.95,PlayStation 3,E,2008,4.73333333333333
NBA 2K8,7,Sports,2K,81,0.5,9.95,PlayStation 3,M,2007,4
MotorStorm,1,"Action,Racing / Driving,Sports",Sony,82,1.58,16.95,PlayStation 3,T,2006,16.9
Castlevania: Dawn of Sorrow,1,"Action,Role-Playing (RPG)",Konami,89,0.31,17.95,Nintendo DS,T,2005,16.0333333333333
Snoopy vs. the Red Baron,1,Action,Namco,76,0.05,17.95,Sony PSP,E,2006,6
Ace Combat X: Skies of Deception,1,"Action,Simulation",Namco,75,0.32,22.95,Sony PSP,E,2006,4.88333333333333
Disgaea DS,1,"Role-Playing (RPG),Strategy",,82,0.1,24.95,Nintendo DS,M,2008,82.7666666666667
WWE Smackdown vs. Raw 2008,6,Sports,THQ,74,0.64,14.95,PlayStation 3,E,2007,25.3166666666667
Fallout 3,1,"Action,Role-Playing (RPG)",,90,1.48,17.95,PlayStation 3,M,2008,60.0666666666667
Army of Two,2,Action,EA,72,1.12,16.95,X360,T,2008,6.8
Heavenly Sword,1,Action,Sony,79,0.57,24.95,PlayStation 3,E,2007,7.13333333333333
Guitar Hero III: Legends of Rock,2,"Action,Simulation",Activision,86,3.19,49.95,Nintendo Wii,T,2007,15.1833333333333
X-Men: The Official Game,1,Action,Activision,50,0.1,14.95,Nintendo DS,E,2006,11.8833333333333
TMNT,1,Action,Ubisoft,58,0.28,19.95,X360,E,2007,4.91666666666667
Endless Ocean,1,Simulation,Nintendo,72,0.44,24.95,Nintendo Wii,E,2007,10.9666666666667
Pirates of the Caribbean: Dead Man's Chest,1,Action,,52,0.26,14.95,Sony PSP,T,2006,2.68333333333333
Ape Escape Academy,4,"Action,Sports",Sony,51,0.13,14.95,Sony PSP,E,2004,1.88333333333333
NiGHTS: Journey of Dreams,2,Action,Sega,69,0.3,14.95,Nintendo Wii,M,2007,6.68333333333333
MX vs. ATV Untamed,1,Racing / Driving,THQ,70,0.22,24.95,Nintendo Wii,E,2008,12
Spider-Man 3,1,Action,Activision,63,0.5,11.95,X360,E,2007,10.8333333333333
The Legend of Heroes: A Tear of Vermillion,1,Role-Playing (RPG),,68,0.08,17.95,Sony PSP,T,2005,31.2833333333333
Sonic Rush Adventure,1,"Action,Sports",Sega,78,0.52,24.95,Nintendo DS,T,2007,9.2
Mirror's Edge,1,Action,EA,79,0.29,14.95,PlayStation 3,T,2008,7.01666666666667
Dynasty Warriors 6,2,"Action,Strategy",,59,0.18,24.95,PlayStation 3,M,2008,29.35
Major League Baseball 2K6,2,Sports,2K,66,0.37,4.95,X360,T,2006,7.65
SoulCalibur IV,2,Action,"Namco,Ubisoft",85,0.65,22.95,PlayStation 3,E,2008,10.0833333333333
Need for Speed: Most Wanted 5-1-0,1,Racing / Driving,EA,72,1.67,14.95,Sony PSP,M,2005,11.3833333333333
Bomberman Land Touch!,1,Action,,78,0.04,24.95,Nintendo DS,E,2006,16.4166666666667
Wall-E,4,Action,THQ,50,0.27,14.95,X360,E,2008,7.35
Cartoon Network Racing,1,Racing / Driving,,55,0.05,14.95,Nintendo DS,E,2006,14.8666666666667
Warriors Orochi,2,"Action,Role-Playing (RPG)",,53,0.17,19.95,X360,E,2007,16.25
Trauma Center: Under The Knife 2,1,"Action,Simulation",,79,0.09,19.95,Nintendo DS,T,2008,12
Rampage: Total Destruction,4,Action,Midway,46,0.19,16.95,Nintendo Wii,E,2006,5
Guitar Hero II,2,"Action,Simulation",Activision,92,2.04,17.95,X360,T,2007,13.4166666666667
The Darkness,1,Action,2K,80,0.2,14.95,PlayStation 3,E,2007,10.9
Battle Fantasia,2,"Action,Role-Playing (RPG)",,71,0.05,22.95,X360,M,2008,1.13333333333333
Blitz: The League,2,Sports,Midway,69,0.14,14.95,X360,T,2006,15
Super Mario 64 DS,1,Action,Nintendo,85,4.69,24.95,Nintendo DS,E,2004,22.7166666666667
GRID,1,"Racing / Driving,Simulation,Sports",,87,0.31,24.95,PlayStation 3,T,2008,28.5833333333333
NCAA Football 08,2,Sports,EA,81,0.68,9.95,X360,E,2007,12
Izuna 2: The Unemployed Ninja Returns,1,Role-Playing (RPG),,65,0.04,17.95,Nintendo DS,E,2008,13.25
Ice Age 2: The Meltdown,1,Action,,66,0.07,17.95,Nintendo Wii,E,2006,9.25
Medal of Honor: Heroes,1,Action,EA,71,0.81,14.95,Sony PSP,E,2006,4.96666666666667
The Spiderwick Chronicles,1,Role-Playing (RPG),,60,0.06,12.95,Nintendo DS,E,2008,5.33333333333333
Patapon,1,"Action,Strategy",Sony,86,0.3,17.95,Sony PSP,T,2008,19.9
Eragon,2,Action,,48,0.09,12.95,X360,T,2006,8.83333333333333
Grand Theft Auto IV,1,"Action,Racing / Driving",Rockstar,98,3.91,24.95,PlayStation 3,E,2008,38.8833333333333
Turn It Around,1,"Racing / Driving,Sports",,39,0.02,9.95,Nintendo DS,E,2007,1
Mega Man ZX,1,Action,Capcom,76,0.14,19.95,Nintendo DS,T,2006,11.2666666666667
Enchanted Arms,1,Role-Playing (RPG),Ubisoft,64,0.18,17.95,PlayStation 3,E,2007,43.2833333333333
Star Trek Legacy,2,"Action,Strategy",Ubisoft,64,0.14,24.95,X360,E,2006,9.03333333333333
Dragon Ball Z: Shin Budokai - Another Road,1,Action,"Atari,Namco",65,0.27,16.95,Sony PSP,E,2007,8.61666666666667
Turning Point: Fall of Liberty,1,Action,,42,0.22,7.95,PlayStation 3,T,2008,5.11666666666667
Gunpey DS,1,Strategy,Namco,70,0.05,12.95,Nintendo DS,E,2006,8
Samba de Amigo,2,Action,Sega,68,0.4,12.95,Nintendo Wii,T,2008,8
Shadowrun,1,Action,Microsoft,66,0.38,12.95,X360,E,2007,28.85
MLB 08: The Show,2,Sports,Sony,85,0.67,12.95,PlayStation 3,E,2008,10
SoulCalibur IV,2,Action,Namco,85,0.87,19.95,X360,E,2008,10.0833333333333
Escape from Bug Island,1,Action,Eidos,37,0.04,14.95,Nintendo Wii,T,2007,7.58333333333333
Soldier of Fortune: Payback,1,Action,Activision,50,0.09,14.95,PlayStation 3,E,2007,3.78333333333333
Guitar Hero: On Tour - Decades,1,"Action,Simulation",Activision,72,0.8,17.95,Nintendo DS,T,2008,10.9166666666667
Touch Detective 2 1/2,1,Adventure,,67,0.08,14.95,Nintendo DS,T,2007,6.63333333333333
Command & Conquer 3: Kane's Wrath,1,Strategy,EA,75,0.15,17.95,X360,M,2008,9.76666666666667
Lara Croft Tomb Raider: Legend,1,"Action,Racing / Driving",Eidos,58,0.05,17.95,Nintendo DS,E,2006,9.15
Sonic Riders: Zero Gravity,4,Racing / Driving,Sega,56,0.45,16.95,Nintendo Wii,T,2008,5.5
The Sims 2: Pets,1,Simulation,EA,65,0.43,22.95,Nintendo Wii,T,2007,27.7
Mega Man Star Force 2: Zerker X Ninja,1,"Action,Role-Playing (RPG)",Capcom,55,0.24,17.95,Nintendo DS,T,2008,19.7166666666667
Neopets Puzzle Adventure,1,"Role-Playing (RPG),Strategy",Capcom,52,0.14,14.95,Nintendo Wii,E,2008,3
Mr. DRILLER: Drill Spirits,1,Action,Namco,72,0.09,14.95,Nintendo DS,T,2004,9.88333333333333
Klonoa: Door to Phantomile,1,Action,Namco,77,0.09,17.95,Nintendo Wii,T,2008,5.01666666666667
Viking: Battle for Asgard,1,Action,Sega,68,0.16,14.95,X360,M,2008,17.5
Age of Empires: The Age of Kings,1,Strategy,,80,0.19,17.95,Nintendo DS,T,2006,57.85
Gradius Collection,1,Action,Konami,76,0.04,17.95,Sony PSP,T,2006,10.1166666666667
Final Fantasy,1,Role-Playing (RPG),SquareEnix,67,0.35,17.95,Sony PSP,T,2007,22.4
Kane & Lynch: Dead Men,2,Action,Eidos,64,0.29,19.95,PlayStation 3,E,2007,5.93333333333333
The Dark Spire,1,"Adventure,Role-Playing (RPG)",,69,0.04,24.95,Nintendo DS,T,2008,56.0166666666667
Tony Hawk's Project 8,2,Sports,Activision,76,0.3,14.95,PlayStation 3,T,2006,17.1666666666667
The Spiderwick Chronicles,2,"Action,Adventure",,62,0.16,16.95,Nintendo Wii,M,2008,5.33333333333333
MediEvil Resurrection,1,Action,Sony,66,0.19,17.95,Sony PSP,T,2005,9.6
Mystery Dungeon: Shiren the Wanderer,1,"Action,Role-Playing (RPG)",Sega,69,0.17,17.95,Nintendo DS,T,2006,33
TNA iMPACT!,1,Sports,Midway,43,0.14,14.95,Nintendo Wii,E,2008,15.8833333333333
Jeanne d'Arc,1,"Role-Playing (RPG),Strategy",Sony,87,0.21,19.95,Sony PSP,T,2007,39.4833333333333
Pac-Man World 3,1,Action,"EA,Namco",61,0.06,24.95,Sony PSP,E,2005,8
Bladestorm: The Hundred Years' War,1,"Action,Role-Playing (RPG),Strategy",,58,0.1,44.95,PlayStation 3,E,2007,51.25
Lunar Knights,1,Action,Konami,82,0.18,16.95,Nintendo DS,T,2007,18.55
Disney Pirates of the Caribbean: At World's End,2,Action,Disney,55,0.15,14.95,PlayStation 3,M,2007,10.3166666666667
Spider-Man 2,1,Action,Activision,67,0.38,14.95,Sony PSP,M,2005,13.25
Fire Emblem: Radiant Dawn,1,"Role-Playing (RPG),Strategy",Nintendo,78,0.26,34.95,Nintendo Wii,T,2007,50.1833333333333
Full Auto 2: Battlelines,2,"Action,Racing / Driving",Sega,67,0.14,14.95,PlayStation 3,T,2006,10.0333333333333
Hot Pixel,1,Action,Atari,55,0.03,8.95,Sony PSP,T,2007,0.716666666666667
Far Cry: Instincts - Predator,4,Action,Ubisoft,78,0.19,17.95,X360,E,2006,18.7666666666667
Need for Speed: ProStreet,2,Racing / Driving,EA,73,0.75,16.95,PlayStation 3,T,2007,13.1
Hotel Dusk: Room 215,1,Adventure,Nintendo,78,0.22,14.95,Nintendo DS,E,2007,15.6
Pokemon Mystery Dungeon: Explorers of Darkness,1,Role-Playing (RPG),Nintendo,59,1.91,15.95,Nintendo DS,E,2007,31.1833333333333
Ys VI: The Ark of Napishtim,1,"Action,Role-Playing (RPG)",Konami,64,0.05,16.95,Sony PSP,E,2006,14.7166666666667
Syphon Filter: Logan's Shadow,1,"Action,Strategy",Sony,85,0.23,16.95,Sony PSP,T,2007,10.6333333333333
Namco Museum DS,1,Action,Namco,67,0.8,17.95,Nintendo DS,E,2007,10
Justice League Heroes,1,Action,,43,0.08,17.95,Nintendo DS,E,2006,10.3666666666667
Death Jr. II: Root of Evil,2,Action,Konami,68,0.05,14.95,Sony PSP,E,2006,9.7
Condemned 2: Bloodshot,1,"Action,Adventure",Sega,82,0.16,14.95,PlayStation 3,T,2008,10.15
Hour of Victory,1,Action,Midway,37,0.11,12.95,X360,M,2007,6.13333333333333
Flash Focus: Vision Training in Minutes a Day,1,Action,Nintendo,59,0.91,17.95,Nintendo DS,T,2007,6
LEGO Batman: The Videogame,2,Action,,76,1.64,14.95,X360,T,2008,17.3333333333333
Assassin's Creed,1,Action,Ubisoft,81,3.17,16.95,X360,T,2007,18.75
Dead or Alive 4,4,Action,,85,0.38,17.95,X360,E,2005,27.3833333333333
Overlord,1,"Action,Strategy",,76,0.35,17.95,X360,M,2007,22.1
Cabela's Alaskan Adventures,1,Sports,Activision,48,0.1,17.95,X360,E,2006,20
